member_id,tier,segment,churn_probability,reason_1,reason_2,reason_3,recommended_action,annual_value_thb
M016881,Silver,Hibernating,0.91014147,visiting 73% less often than their own usual pattern (+14 points of risk),14 visits on record (+13 points of risk),39 days since last visit (+12 points of risk),Bounce-back free drink + one-question why-survey,2643.96
M007474,Bronze,Hibernating,0.8492877,54 days since last visit (+14 points of risk),11 visits on record (+14 points of risk),visiting 59% less often than their own usual pattern (+13 points of risk),Bounce-back free drink + one-question why-survey,2642.09
M004972,Silver,Hibernating,0.9827519,57 days since last visit (+15 points of risk),13 visits on record (+13 points of risk),visits roughly every 10 days (+10 points of risk),Bounce-back free drink + one-question why-survey,2640.3
M000826,Bronze,Hibernating,0.98695964,66 days since last visit (+19 points of risk),17 visits on record (+11 points of risk),a member for 203 days (+8 points of risk),Bounce-back free drink + one-question why-survey,2639.6
M005011,Bronze,Hibernating,0.84520644,a member for 394 days (+13 points of risk),12 visits on record (+13 points of risk),64 days since last visit (+11 points of risk),Bounce-back free drink + one-question why-survey,2639.35
M006033,Silver,Hibernating,0.9619843,58 days since last visit (+22 points of risk),16 visits on record (+11 points of risk),a member for 184 days (+8 points of risk),Bounce-back free drink + one-question why-survey,2637.24
M005456,Bronze,Hibernating,0.933937,typical gap between visits is now 2.4x longer than their own usual pattern (+17 points of risk),80 days since last visit (+15 points of risk),12 visits on record (+13 points of risk),Bounce-back free drink + one-question why-survey,2632.85
M007109,Gold,Hibernating,0.8092376,12 visits on record (+14 points of risk),49 days since last visit (+11 points of risk),visiting 47% less often than their own usual pattern (+11 points of risk),Bounce-back free drink + one-question why-survey,2632.75
M009686,Bronze,Hibernating,0.986432,52 days since last visit (+14 points of risk),13 visits on record (+13 points of risk),visits roughly every 11 days (+11 points of risk),Bounce-back free drink + one-question why-survey,2629.77
M019027,Bronze,Hibernating,0.98400635,typical gap between visits is now 5.2x longer than their own usual pattern (+22 points of risk),16 visits on record (+12 points of risk),42 days since last visit (+12 points of risk),Bounce-back free drink + one-question why-survey,2627.99
M010014,Bronze,Hibernating,0.9681616,82 days since last visit (+17 points of risk),16 visits on record (+11 points of risk),visits roughly every 12 days (+11 points of risk),Bounce-back free drink + one-question why-survey,2626.4
M000314,Bronze,Loyal,0.8776836,a member for 606 days (+15 points of risk),visiting 60% less often than their own usual pattern (+14 points of risk),19 visits on record (+11 points of risk),"Tier-up nudge, personalized bundle",2625.83
M005275,Silver,Hibernating,0.9447713,54 days since last visit (+16 points of risk),typical gap between visits is now 2.4x longer than their own usual pattern (+15 points of risk),11 visits on record (+12 points of risk),Bounce-back free drink + one-question why-survey,2623.09
M008242,Bronze,Hibernating,0.9934378,typical gap between visits is now 3.5x longer than their own usual pattern (+17 points of risk),51 days since last visit (+13 points of risk),17 visits on record (+11 points of risk),Bounce-back free drink + one-question why-survey,2622.4700000000003
M017209,Bronze,Loyal,0.81468344,visits roughly every 11 days (+15 points of risk),9 visits on record (+13 points of risk),visiting 45% less often than their own usual pattern (+11 points of risk),"Tier-up nudge, personalized bundle",2616.6800000000003
M008891,Bronze,Loyal,0.8724881,visiting 83% less often than their own usual pattern (+18 points of risk),13 visits on record (+13 points of risk),a member for 291 days (+13 points of risk),"Tier-up nudge, personalized bundle",2614.84
M006514,Silver,Hibernating,0.90332407,65 days since last visit (+13 points of risk),visiting 71% less often than their own usual pattern (+12 points of risk),a member for 356 days (+12 points of risk),Bounce-back free drink + one-question why-survey,2611.51
M005809,Silver,Hibernating,0.9852651,75 days since last visit (+17 points of risk),16 visits on record (+11 points of risk),visits roughly every 10 days (+9 points of risk),Bounce-back free drink + one-question why-survey,2610.49
M005336,Bronze,Loyal,0.8066277,visiting 47% less often than their own usual pattern (+14 points of risk),a member for 162 days (+9 points of risk),8 visits on record (+9 points of risk),"Tier-up nudge, personalized bundle",2606.6
M014951,Silver,Loyal,0.96218777,16 visits on record (+15 points of risk),visits roughly every 12 days (+12 points of risk),35 days since last visit (+10 points of risk),"Tier-up nudge, personalized bundle",2603.6
M002357,Bronze,Loyal,0.93635803,15 visits on record (+15 points of risk),visiting 47% less often than their own usual pattern (+10 points of risk),visits roughly every 9 days (+9 points of risk),"Tier-up nudge, personalized bundle",2601.35
M006943,Gold,Hibernating,0.96042186,11 visits on record (+14 points of risk),44 days since last visit (+12 points of risk),visits roughly every 10 days (+12 points of risk),Bounce-back free drink + one-question why-survey,2594.59
M009702,Bronze,Hibernating,0.8136071,46 days since last visit (+26 points of risk),visits roughly every 16 days (+12 points of risk),16 visits on record (+10 points of risk),Bounce-back free drink + one-question why-survey,2593.5
M014862,Bronze,Hibernating,0.9292921,typical gap between visits is now 2.3x longer than their own usual pattern (+21 points of risk),83 days since last visit (+17 points of risk),19 visits on record (+13 points of risk),Bounce-back free drink + one-question why-survey,2591.99
M013867,Silver,Hibernating,0.9221543,79 days since last visit (+17 points of risk),visiting 89% less often than their own usual pattern (+12 points of risk),12 visits on record (+12 points of risk),Bounce-back free drink + one-question why-survey,2591.89
M011028,Silver,Hibernating,0.955597,visiting 91% less often than their own usual pattern (+13 points of risk),60 days since last visit (+13 points of risk),13 visits on record (+12 points of risk),Bounce-back free drink + one-question why-survey,2590.58
M007200,Bronze,Hibernating,0.9729934,47 days since last visit (+15 points of risk),typical gap between visits is now 2.3x longer than their own usual pattern (+15 points of risk),15 visits on record (+12 points of risk),Bounce-back free drink + one-question why-survey,2584.0
M005830,Bronze,Hibernating,0.95648,79 days since last visit (+17 points of risk),visiting 76% less often than their own usual pattern (+13 points of risk),16 visits on record (+12 points of risk),Bounce-back free drink + one-question why-survey,2583.96
M009547,Gold,Loyal,0.9124196,a member for 410 days (+17 points of risk),typical gap between visits is now 2.0x longer than their own usual pattern (+13 points of risk),13 visits on record (+11 points of risk),"Tier-up nudge, personalized bundle",2582.31
M013865,Silver,Hibernating,0.9313425,49 days since last visit (+16 points of risk),visiting 65% less often than their own usual pattern (+15 points of risk),16 visits on record (+12 points of risk),Bounce-back free drink + one-question why-survey,2582.12
M009814,Gold,Hibernating,0.89613926,49 days since last visit (+18 points of risk),visiting 55% less often than their own usual pattern (+13 points of risk),10 visits on record (+11 points of risk),Bounce-back free drink + one-question why-survey,2581.59
M008610,Silver,Hibernating,0.8563503,77 days since last visit (+15 points of risk),visiting 58% less often than their own usual pattern (+14 points of risk),16 visits on record (+9 points of risk),Bounce-back free drink + one-question why-survey,2581.11
M018068,Bronze,Loyal,0.9486538,16 visits on record (+12 points of risk),visits down 60% in the last 30 days vs. the 30 before (+10 points of risk),visits roughly every 9 days (+9 points of risk),"Tier-up nudge, personalized bundle",2579.48
M014039,Silver,Hibernating,0.8941388,visiting 60% less often than their own usual pattern (+14 points of risk),14 visits on record (+13 points of risk),a member for 341 days (+11 points of risk),Bounce-back free drink + one-question why-survey,2578.54
M015552,Bronze,Hibernating,0.89913696,54 days since last visit (+16 points of risk),visiting 79% less often than their own usual pattern (+15 points of risk),16 visits on record (+13 points of risk),Bounce-back free drink + one-question why-survey,2577.72
M015909,Silver,Hibernating,0.8287091,58 days since last visit (+12 points of risk),a member for 304 days (+11 points of risk),visiting 44% less often than their own usual pattern (+10 points of risk),Bounce-back free drink + one-question why-survey,2575.06
M010121,Bronze,Loyal,0.90588045,10 visits on record (+15 points of risk),visits down 60% in the last 30 days vs. the 30 before (+11 points of risk),visits roughly every 9 days (+10 points of risk),"Tier-up nudge, personalized bundle",2574.1
M003077,Bronze,Hibernating,0.9722845,86 days since last visit (+16 points of risk),18 visits on record (+11 points of risk),a member for 264 days (+10 points of risk),Bounce-back free drink + one-question why-survey,2568.05
M014462,Bronze,Hibernating,0.9751135,63 days since last visit (+17 points of risk),visits roughly every 12 days (+13 points of risk),11 visits on record (+11 points of risk),Bounce-back free drink + one-question why-survey,2566.13
M012652,Bronze,Hibernating,0.9719964,51 days since last visit (+20 points of risk),15 visits on record (+11 points of risk),visits roughly every 9 days (+10 points of risk),Bounce-back free drink + one-question why-survey,2565.33
M013599,Bronze,Loyal,0.88843155,typical gap between visits is now 2.1x longer than their own usual pattern (+14 points of risk),15 visits on record (+13 points of risk),a member for 358 days (+11 points of risk),"Tier-up nudge, personalized bundle",2562.47
M018226,Bronze,Loyal,0.87577784,visiting 79% less often than their own usual pattern (+16 points of risk),a member for 231 days (+9 points of risk),9 visits on record (+8 points of risk),"Tier-up nudge, personalized bundle",2562.43
M000897,Bronze,Loyal,0.95364755,17 visits on record (+13 points of risk),36 days since last visit (+12 points of risk),visits roughly every 9 days (+10 points of risk),"Tier-up nudge, personalized bundle",2560.41
M018177,Silver,Hibernating,0.9973929,typical gap between visits is now 4.5x longer than their own usual pattern (+15 points of risk),57 days since last visit (+13 points of risk),11 visits on record (+11 points of risk),Bounce-back free drink + one-question why-survey,2557.62
M002188,Bronze,Loyal,0.8914179,visits roughly every 11 days (+17 points of risk),16 visits on record (+12 points of risk),a member for 197 days (+10 points of risk),"Tier-up nudge, personalized bundle",2554.7400000000002
M019110,Gold,Hibernating,0.7994448,78 days since last visit (+16 points of risk),a member for 384 days (+13 points of risk),11 visits on record (+11 points of risk),Bounce-back free drink + one-question why-survey,2554.34
M001050,Bronze,Hibernating,0.8001073,50 days since last visit (+13 points of risk),a member for 322 days (+12 points of risk),9 visits on record (+10 points of risk),Bounce-back free drink + one-question why-survey,2553.96
M009254,Silver,Loyal,0.86368054,typical gap between visits is now 2.5x longer than their own usual pattern (+19 points of risk),a member for 317 days (+13 points of risk),12 visits on record (+12 points of risk),"Tier-up nudge, personalized bundle",2550.8
M000698,Bronze,Loyal,0.96845824,typical gap between visits is now 5.6x longer than their own usual pattern (+29 points of risk),18 visits on record (+13 points of risk),a member for 307 days (+8 points of risk),"Tier-up nudge, personalized bundle",2549.71
M002613,Bronze,Loyal,0.8111904,visits roughly every 12 days (+20 points of risk),16 visits on record (+9 points of risk),visits down 50% in the last 30 days vs. the 30 before (+8 points of risk),"Tier-up nudge, personalized bundle",2547.55
M006534,Silver,Loyal,0.9441761,typical gap between visits is now 2.5x longer than their own usual pattern (+20 points of risk),a member for 438 days (+12 points of risk),17 visits on record (+11 points of risk),"Tier-up nudge, personalized bundle",2540.71
M001977,Bronze,Loyal,0.83222324,16 visits on record (+16 points of risk),visiting 71% less often than their own usual pattern (+14 points of risk),a member for 279 days (+9 points of risk),"Tier-up nudge, personalized bundle",2540.67
M011080,Gold,Hibernating,0.8230159,typical gap between visits is now 2.5x longer than their own usual pattern (+19 points of risk),15 visits on record (+15 points of risk),a member for 532 days (+10 points of risk),Bounce-back free drink + one-question why-survey,2538.48
M006535,Bronze,Hibernating,0.97105724,50 days since last visit (+18 points of risk),visits roughly every 11 days (+13 points of risk),17 visits on record (+11 points of risk),Bounce-back free drink + one-question why-survey,2535.48
M000581,Silver,Hibernating,0.90682125,57 days since last visit (+17 points of risk),visiting 74% less often than their own usual pattern (+14 points of risk),12 visits on record (+14 points of risk),Bounce-back free drink + one-question why-survey,2533.98
M015310,Gold,Loyal,0.92786014,visits roughly every 14 days (+21 points of risk),33 days since last visit (+11 points of risk),13 visits on record (+9 points of risk),"Tier-up nudge, personalized bundle",2531.84
M002970,Bronze,Hibernating,0.97384506,14 visits on record (+14 points of risk),41 days since last visit (+13 points of risk),typical gap between visits is now 2.6x longer than their own usual pattern (+9 points of risk),Bounce-back free drink + one-question why-survey,2531.32
M013579,Silver,Hibernating,0.92746323,68 days since last visit (+15 points of risk),a member for 394 days (+12 points of risk),visiting 65% less often than their own usual pattern (+12 points of risk),Bounce-back free drink + one-question why-survey,2527.28
M001132,Gold,Loyal,0.8620147,visits roughly every 41 days (+16 points of risk),12 visits on record (+14 points of risk),a member for 452 days (+13 points of risk),"Tier-up nudge, personalized bundle",2526.06
M008883,Bronze,Hibernating,0.87261987,13 visits on record (+15 points of risk),visiting 78% less often than their own usual pattern (+14 points of risk),58 days since last visit (+13 points of risk),Bounce-back free drink + one-question why-survey,2525.15
M007012,Silver,Hibernating,0.9301413,visiting 66% less often than their own usual pattern (+13 points of risk),48 days since last visit (+13 points of risk),13 visits on record (+12 points of risk),Bounce-back free drink + one-question why-survey,2524.85
M011265,Bronze,Loyal,0.91353446,typical gap between visits is now 2.2x longer than their own usual pattern (+18 points of risk),a member for 508 days (+14 points of risk),14 visits on record (+14 points of risk),"Tier-up nudge, personalized bundle",2516.45
M019607,Bronze,Loyal,0.83586663,visiting 82% less often than their own usual pattern (+18 points of risk),13 visits on record (+16 points of risk),a member for 247 days (+9 points of risk),"Tier-up nudge, personalized bundle",2513.25
M016061,Bronze,Loyal,0.9373005,typical gap between visits is now 3.9x longer than their own usual pattern (+23 points of risk),12 visits on record (+15 points of risk),a member for 327 days (+9 points of risk),"Tier-up nudge, personalized bundle",2511.69
M012059,Bronze,Loyal,0.7972897,15 visits on record (+13 points of risk),visits roughly every 11 days (+10 points of risk),a member for 155 days (+10 points of risk),"Tier-up nudge, personalized bundle",2511.46
M007909,Bronze,Loyal,0.94637156,15 visits on record (+14 points of risk),visits roughly every 10 days (+11 points of risk),visiting 64% less often than their own usual pattern (+11 points of risk),"Tier-up nudge, personalized bundle",2511.4300000000003
M002121,Bronze,Loyal,0.8277124,visiting 62% less often than their own usual pattern (+18 points of risk),a member for 408 days (+13 points of risk),15 visits on record (+12 points of risk),"Tier-up nudge, personalized bundle",2511.16
M016069,Bronze,Loyal,0.8597826,visiting 97% less often than their own usual pattern (+15 points of risk),14 visits on record (+14 points of risk),a member for 265 days (+9 points of risk),"Tier-up nudge, personalized bundle",2510.5299999999997
M004343,Bronze,Loyal,0.94049776,a member for 332 days (+15 points of risk),visiting 72% less often than their own usual pattern (+12 points of risk),visits roughly every 41 days (+11 points of risk),"Tier-up nudge, personalized bundle",2508.83
M005017,Bronze,Loyal,0.9727634,typical gap between visits is now 5.9x longer than their own usual pattern (+30 points of risk),19 visits on record (+13 points of risk),visits roughly every 13 days (+8 points of risk),"Tier-up nudge, personalized bundle",2506.27
M005068,Bronze,Loyal,0.8262136,visiting 65% less often than their own usual pattern (+15 points of risk),17 visits on record (+14 points of risk),a member for 388 days (+9 points of risk),"Tier-up nudge, personalized bundle",2504.71
M013731,Bronze,Hibernating,0.8366886,49 days since last visit (+17 points of risk),15 visits on record (+12 points of risk),a member for 301 days (+11 points of risk),Bounce-back free drink + one-question why-survey,2504.54
M004157,Bronze,Loyal,0.8931992,14 visits on record (+14 points of risk),visiting 40% less often than their own usual pattern (+10 points of risk),a member for 322 days (+10 points of risk),"Tier-up nudge, personalized bundle",2504.19
M009756,Bronze,Hibernating,0.8643748,56 days since last visit (+15 points of risk),visiting 70% less often than their own usual pattern (+14 points of risk),11 visits on record (+12 points of risk),Bounce-back free drink + one-question why-survey,2504.0699999999997
M009726,Bronze,Hibernating,0.9625931,73 days since last visit (+20 points of risk),17 visits on record (+13 points of risk),visits roughly every 13 days (+12 points of risk),Bounce-back free drink + one-question why-survey,2502.27
M013543,Silver,Hibernating,0.92805976,50 days since last visit (+16 points of risk),visiting 64% less often than their own usual pattern (+13 points of risk),11 visits on record (+13 points of risk),Bounce-back free drink + one-question why-survey,2500.6800000000003
M018509,Bronze,Loyal,0.8250955,visiting 45% less often than their own usual pattern (+15 points of risk),13 visits on record (+14 points of risk),a member for 288 days (+12 points of risk),"Tier-up nudge, personalized bundle",2498.88
M006536,Bronze,Loyal,0.9678354,typical gap between visits is now 4.4x longer than their own usual pattern (+30 points of risk),18 visits on record (+14 points of risk),a member for 380 days (+9 points of risk),"Tier-up nudge, personalized bundle",2498.15
M010428,Silver,Loyal,0.81627005,a member for 262 days (+13 points of risk),9 visits on record (+8 points of risk),visits roughly every 32 days (+5 points of risk),"Tier-up nudge, personalized bundle",2495.92
M017132,Bronze,Loyal,0.9226987,17 visits on record (+16 points of risk),visiting 72% less often than their own usual pattern (+14 points of risk),visits roughly every 11 days (+11 points of risk),"Tier-up nudge, personalized bundle",2492.34
M014608,Gold,Hibernating,0.8488878,52 days since last visit (+14 points of risk),visiting 59% less often than their own usual pattern (+14 points of risk),a member for 264 days (+13 points of risk),Bounce-back free drink + one-question why-survey,2491.85
M011202,Silver,Hibernating,0.96277857,68 days since last visit (+19 points of risk),16 visits on record (+13 points of risk),visits roughly every 12 days (+11 points of risk),Bounce-back free drink + one-question why-survey,2487.49
M019891,Silver,Loyal,0.8582713,visiting 88% less often than their own usual pattern (+18 points of risk),13 visits on record (+12 points of risk),a member for 320 days (+12 points of risk),"Tier-up nudge, personalized bundle",2487.36
M005208,Bronze,Loyal,0.90023285,visiting 95% less often than their own usual pattern (+15 points of risk),19 visits on record (+15 points of risk),visits roughly every 10 days (+10 points of risk),"Tier-up nudge, personalized bundle",2487.25
M012395,Silver,Hibernating,0.8048364,11 visits on record (+13 points of risk),a member for 393 days (+12 points of risk),65 days since last visit (+10 points of risk),Bounce-back free drink + one-question why-survey,2486.48
M014567,Silver,Loyal,0.808805,12 visits on record (+16 points of risk),visits roughly every 11 days (+14 points of risk),visits down 60% in the last 30 days vs. the 30 before (+13 points of risk),"Tier-up nudge, personalized bundle",2484.76
M011194,Bronze,Hibernating,0.90824026,77 days since last visit (+19 points of risk),a member for 392 days (+14 points of risk),visiting 58% less often than their own usual pattern (+11 points of risk),Bounce-back free drink + one-question why-survey,2481.11
M009106,Bronze,Loyal,0.79336995,visiting 66% less often than their own usual pattern (+18 points of risk),11 visits on record (+13 points of risk),a member for 231 days (+8 points of risk),"Tier-up nudge, personalized bundle",2481.0
M016060,Bronze,Hibernating,0.95000416,65 days since last visit (+15 points of risk),14 visits on record (+13 points of risk),visiting 58% less often than their own usual pattern (+13 points of risk),Bounce-back free drink + one-question why-survey,2480.51
M001723,Bronze,Hibernating,0.9886735,50 days since last visit (+15 points of risk),15 visits on record (+12 points of risk),visits roughly every 10 days (+9 points of risk),Bounce-back free drink + one-question why-survey,2479.73
M006347,Bronze,Hibernating,0.88247156,16 visits on record (+14 points of risk),a member for 335 days (+11 points of risk),39 days since last visit (+10 points of risk),Bounce-back free drink + one-question why-survey,2478.98
M004673,Bronze,Hibernating,0.954122,67 days since last visit (+16 points of risk),visiting 89% less often than their own usual pattern (+12 points of risk),12 visits on record (+12 points of risk),Bounce-back free drink + one-question why-survey,2478.98
M002768,Silver,Hibernating,0.91214,15 visits on record (+14 points of risk),visiting 70% less often than their own usual pattern (+12 points of risk),a member for 316 days (+9 points of risk),Bounce-back free drink + one-question why-survey,2477.9
M018044,Bronze,Loyal,0.9090502,16 visits on record (+14 points of risk),visits roughly every 12 days (+10 points of risk),visits down 60% in the last 30 days vs. the 30 before (+8 points of risk),"Tier-up nudge, personalized bundle",2472.96
M007423,Bronze,Loyal,0.90195113,18 visits on record (+16 points of risk),typical gap between visits is now 2.2x longer than their own usual pattern (+15 points of risk),visits roughly every 11 days (+12 points of risk),"Tier-up nudge, personalized bundle",2467.34
M014085,Bronze,Hibernating,0.97751725,48 days since last visit (+15 points of risk),visits roughly every 12 days (+13 points of risk),13 visits on record (+13 points of risk),Bounce-back free drink + one-question why-survey,2467.31
M016154,Bronze,Loyal,0.95673776,13 visits on record (+15 points of risk),visits roughly every 10 days (+12 points of risk),31 days since last visit (+7 points of risk),"Tier-up nudge, personalized bundle",2467.09
M013274,Bronze,Loyal,0.92136824,a member for 356 days (+15 points of risk),12 visits on record (+12 points of risk),visiting 47% less often than their own usual pattern (+11 points of risk),"Tier-up nudge, personalized bundle",2467.07
M013879,Bronze,Loyal,0.7983345,visiting 37% less often than their own usual pattern (+14 points of risk),a member for 203 days (+9 points of risk),9 visits on record (+8 points of risk),"Tier-up nudge, personalized bundle",2463.64
M009592,Silver,Hibernating,0.97280663,54 days since last visit (+17 points of risk),typical gap between visits is now 3.3x longer than their own usual pattern (+16 points of risk),10 visits on record (+11 points of risk),Bounce-back free drink + one-question why-survey,2463.33
M009940,Bronze,Hibernating,0.8099729,15 visits on record (+15 points of risk),42 days since last visit (+13 points of risk),a member for 301 days (+9 points of risk),Bounce-back free drink + one-question why-survey,2459.37
M014140,Silver,Loyal,0.79737437,typical gap between visits is now 2.0x longer than their own usual pattern (+20 points of risk),14 visits on record (+13 points of risk),a member for 418 days (+11 points of risk),"Tier-up nudge, personalized bundle",2459.33
M015672,Silver,Hibernating,0.8497653,visiting 90% less often than their own usual pattern (+14 points of risk),12 visits on record (+13 points of risk),83 days since last visit (+13 points of risk),Bounce-back free drink + one-question why-survey,2454.93
M018784,Silver,Loyal,0.9100362,typical gap between visits is now 3.8x longer than their own usual pattern (+24 points of risk),14 visits on record (+16 points of risk),a member for 209 days (+9 points of risk),"Tier-up nudge, personalized bundle",2454.64
M007955,Bronze,Hibernating,0.9801437,74 days since last visit (+19 points of risk),18 visits on record (+12 points of risk),typical gap between visits is now 2.7x longer than their own usual pattern (+10 points of risk),Bounce-back free drink + one-question why-survey,2454.43
M005064,Bronze,Loyal,0.9351763,typical gap between visits is now 6.0x longer than their own usual pattern (+33 points of risk),15 visits on record (+13 points of risk),a member for 281 days (+11 points of risk),"Tier-up nudge, personalized bundle",2453.94
M016646,Silver,Hibernating,0.92592806,83 days since last visit (+19 points of risk),visiting 84% less often than their own usual pattern (+13 points of risk),a member for 292 days (+11 points of risk),Bounce-back free drink + one-question why-survey,2451.31
M004848,Bronze,Hibernating,0.88008857,81 days since last visit (+19 points of risk),a member for 227 days (+10 points of risk),visiting 52% less often than their own usual pattern (+9 points of risk),Bounce-back free drink + one-question why-survey,2449.44
M016016,Bronze,Loyal,0.8545925,12 visits on record (+15 points of risk),visiting 51% less often than their own usual pattern (+13 points of risk),a member for 273 days (+10 points of risk),"Tier-up nudge, personalized bundle",2449.07
M014343,Silver,Loyal,0.8733349,visiting 42% less often than their own usual pattern (+15 points of risk),12 visits on record (+13 points of risk),a member for 255 days (+11 points of risk),"Tier-up nudge, personalized bundle",2447.96
M005882,Bronze,Hibernating,0.83197546,typical gap between visits is now 2.6x longer than their own usual pattern (+16 points of risk),10 visits on record (+12 points of risk),37 days since last visit (+10 points of risk),Bounce-back free drink + one-question why-survey,2447.2400000000002
M006335,Silver,Hibernating,0.8028828,visiting 91% less often than their own usual pattern (+12 points of risk),a member for 380 days (+10 points of risk),10 visits on record (+9 points of risk),Bounce-back free drink + one-question why-survey,2445.8
M003723,Silver,Hibernating,0.9413917,visits roughly every 13 days (+16 points of risk),41 days since last visit (+15 points of risk),12 visits on record (+14 points of risk),Bounce-back free drink + one-question why-survey,2445.77
M012209,Bronze,Loyal,0.83204895,visits down 60% in the last 30 days vs. the 30 before (+19 points of risk),visits roughly every 10 days (+16 points of risk),14 visits on record (+11 points of risk),"Tier-up nudge, personalized bundle",2444.95
M003952,Bronze,Hibernating,0.807163,54 days since last visit (+16 points of risk),visiting 88% less often than their own usual pattern (+15 points of risk),17 visits on record (+13 points of risk),Bounce-back free drink + one-question why-survey,2441.05
M016236,Silver,Hibernating,0.89676243,63 days since last visit (+23 points of risk),9 visits on record (+13 points of risk),visits roughly every 9 days (+9 points of risk),Bounce-back free drink + one-question why-survey,2439.8
M002956,Bronze,Hibernating,0.923592,60 days since last visit (+17 points of risk),15 visits on record (+13 points of risk),a member for 300 days (+10 points of risk),Bounce-back free drink + one-question why-survey,2438.54
M008258,Bronze,Hibernating,0.96058697,typical gap between visits is now 2.5x longer than their own usual pattern (+16 points of risk),82 days since last visit (+15 points of risk),17 visits on record (+11 points of risk),Bounce-back free drink + one-question why-survey,2435.4
M012339,Silver,Hibernating,0.957713,typical gap between visits is now 3.3x longer than their own usual pattern (+17 points of risk),49 days since last visit (+16 points of risk),9 visits on record (+11 points of risk),Bounce-back free drink + one-question why-survey,2432.4
M004493,Bronze,Loyal,0.92933285,13 visits on record (+15 points of risk),visits roughly every 12 days (+12 points of risk),visiting 42% less often than their own usual pattern (+9 points of risk),"Tier-up nudge, personalized bundle",2432.16
M007213,Silver,Loyal,0.80349636,11 visits on record (+15 points of risk),visiting 81% less often than their own usual pattern (+15 points of risk),visits roughly every 11 days (+13 points of risk),"Tier-up nudge, personalized bundle",2432.09
M004656,Bronze,Loyal,0.9513848,visits roughly every 3 days (+18 points of risk),17 visits on record (+12 points of risk),29 days since last visit (+12 points of risk),"Tier-up nudge, personalized bundle",2428.09
M002147,Silver,Loyal,0.92410934,a member for 298 days (+14 points of risk),typical gap between visits is now 2.3x longer than their own usual pattern (+14 points of risk),visits roughly every 42 days (+10 points of risk),"Tier-up nudge, personalized bundle",2426.65
M017943,Gold,Loyal,0.81817746,visiting 59% less often than their own usual pattern (+18 points of risk),13 visits on record (+16 points of risk),a member for 259 days (+11 points of risk),"Tier-up nudge, personalized bundle",2426.54
M001909,Bronze,Loyal,0.88322157,19 visits on record (+16 points of risk),visiting 60% less often than their own usual pattern (+13 points of risk),a member for 198 days (+8 points of risk),"Tier-up nudge, personalized bundle",2421.84
M014193,Gold,Hibernating,0.8846303,visiting 57% less often than their own usual pattern (+14 points of risk),11 visits on record (+13 points of risk),49 days since last visit (+13 points of risk),Bounce-back free drink + one-question why-survey,2421.52
M003088,Bronze,Hibernating,0.9862059,15 visits on record (+15 points of risk),typical gap between visits is now 3.6x longer than their own usual pattern (+14 points of risk),45 days since last visit (+14 points of risk),Bounce-back free drink + one-question why-survey,2420.92
M011268,Silver,Hibernating,0.9061418,77 days since last visit (+33 points of risk),visits roughly every 16 days (+14 points of risk),a member for 203 days (+7 points of risk),Bounce-back free drink + one-question why-survey,2416.73
M008081,Bronze,Hibernating,0.9461923,51 days since last visit (+15 points of risk),11 visits on record (+12 points of risk),visiting 68% less often than their own usual pattern (+12 points of risk),Bounce-back free drink + one-question why-survey,2415.42
M007194,Bronze,Loyal,0.95132434,visits roughly every 10 days (+19 points of risk),30 days since last visit (+11 points of risk),visits down 75% in the last 30 days vs. the 30 before (+10 points of risk),"Tier-up nudge, personalized bundle",2415.22
M017923,Bronze,Loyal,0.8283908,visiting 88% less often than their own usual pattern (+19 points of risk),13 visits on record (+13 points of risk),a member for 310 days (+12 points of risk),"Tier-up nudge, personalized bundle",2414.9
M016117,Bronze,Loyal,0.8766513,12 visits on record (+14 points of risk),visits roughly every 12 days (+13 points of risk),visits down 50% in the last 30 days vs. the 30 before (+7 points of risk),"Tier-up nudge, personalized bundle",2413.95
M014888,Bronze,Hibernating,0.9074958,18 visits on record (+16 points of risk),typical gap between visits is now 2.2x longer than their own usual pattern (+15 points of risk),43 days since last visit (+14 points of risk),Bounce-back free drink + one-question why-survey,2413.27
M000144,Bronze,Hibernating,0.9200866,18 visits on record (+15 points of risk),visiting 79% less often than their own usual pattern (+13 points of risk),44 days since last visit (+11 points of risk),Bounce-back free drink + one-question why-survey,2412.6
M008204,Bronze,Hibernating,0.9345721,83 days since last visit (+14 points of risk),a member for 358 days (+13 points of risk),visiting 55% less often than their own usual pattern (+11 points of risk),Bounce-back free drink + one-question why-survey,2412.38
M015927,Silver,Loyal,0.8835628,a member for 361 days (+15 points of risk),visiting 71% less often than their own usual pattern (+14 points of risk),10 visits on record (+10 points of risk),"Tier-up nudge, personalized bundle",2411.35
M018987,Silver,Loyal,0.8052781,13 visits on record (+15 points of risk),visiting 48% less often than their own usual pattern (+13 points of risk),visits roughly every 10 days (+9 points of risk),"Tier-up nudge, personalized bundle",2409.88
M010485,Bronze,Hibernating,0.92680144,14 visits on record (+13 points of risk),visiting 85% less often than their own usual pattern (+13 points of risk),a member for 402 days (+13 points of risk),Bounce-back free drink + one-question why-survey,2408.73
M003298,Silver,Hibernating,0.9500144,75 days since last visit (+19 points of risk),14 visits on record (+11 points of risk),a member for 317 days (+11 points of risk),Bounce-back free drink + one-question why-survey,2406.17
M012105,Bronze,Hibernating,0.91777074,typical gap between visits is now 2.1x longer than their own usual pattern (+19 points of risk),52 days since last visit (+16 points of risk),19 visits on record (+12 points of risk),Bounce-back free drink + one-question why-survey,2404.57
